requirement_id,source_id,source_sha256,source_sheet,source_coordinate,module,capability,purpose,user_flow,user_actions,system_actions,ai_actions,inputs,outputs,business_rules,personas,dependencies,source_acceptance_criteria,original_source_text,disposition,disposition_alias,target_module_id,implementation_package,target_routes,target_designs,acceptance_ids,decision_or_blocker_ids,shared_backend_dependencies,evidence_ids,status
CR-237,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Inspection excution-Start jou,Inspection excution-Start jou!125,Inspection Execution – Physical,Annotate Report Evidence,Improve clarity of captured evidence.,Evidence Uploaded,Annotate image.,Store annotated version while preserving the original file.,None,Image,Annotated Evidence,Original image shall never be modified.,Inspector,Media Service,Annotation stored successfully.,module=Inspection Execution – Physical | capability=Annotate Report Evidence | purpose=Improve clarity of captured evidence. | user_flow=Evidence Uploaded | user_actions=Annotate image. | system_actions=Store annotated version while preserving the original file. | ai_actions=None | inputs=Image | outputs=Annotated Evidence | business_rules=Original image shall never be modified. | personas=Inspector | dependencies=Media Service | source_acceptance_criteria=Annotation stored successfully.,PHASE2_IPAD_DEFERRED,DEFERRED_TO_PHASE_2_IPAD,MOD-12,PHASE2,/field/**,PHASE2_IPAD_DEFERRED,WA-AC-0237,,,WA-EV-0237,BASELINED_NOT_IMPLEMENTED
CR-238,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Inspection excution-Start jou,Inspection excution-Start jou!126,Inspection Execution – Physical,Save Draft Report,Preserve incomplete report progress.,Any Time,Save Draft.,"Save current responses, uploaded evidence and completed sections.",None,Report Session,Draft Report,Draft remains editable until submission.,Inspector,Draft Service,Draft restored successfully.,"module=Inspection Execution – Physical | capability=Save Draft Report | purpose=Preserve incomplete report progress. | user_flow=Any Time | user_actions=Save Draft. | system_actions=Save current responses, uploaded evidence and completed sections. | ai_actions=None | inputs=Report Session | outputs=Draft Report | business_rules=Draft remains editable until submission. | personas=Inspector | dependencies=Draft Service | source_acceptance_criteria=Draft restored successfully.",PHASE2_IPAD_DEFERRED,DEFERRED_TO_PHASE_2_IPAD,MOD-09,PHASE2,/field/**,PHASE2_IPAD_DEFERRED,WA-AC-0238,,IMMUTABLE_VERSION,WA-EV-0238,BASELINED_NOT_IMPLEMENTED
CR-239,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Inspection excution-Start jou,Inspection excution-Start jou!127,Inspection Execution – Physical,Auto Save Report,Prevent data loss.,During Completion,Continue working.,Automatically save report after configurable intervals and significant changes.,None,Report Responses,Updated Draft,Auto Save runs silently in the background.,Inspector,Draft Service,No entered data is lost.,module=Inspection Execution – Physical | capability=Auto Save Report | purpose=Prevent data loss. | user_flow=During Completion | user_actions=Continue working. | system_actions=Automatically save report after configurable intervals and significant changes. | ai_actions=None | inputs=Report Responses | outputs=Updated Draft | business_rules=Auto Save runs silently in the background. | personas=Inspector | dependencies=Draft Service | source_acceptance_criteria=No entered data is lost.,PHASE2_IPAD_DEFERRED,DEFERRED_TO_PHASE_2_IPAD,MOD-09,PHASE2,/field/**,PHASE2_IPAD_DEFERRED,WA-AC-0239,,,WA-EV-0239,BASELINED_NOT_IMPLEMENTED
CR-240,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Inspection excution-Start jou,Inspection excution-Start jou!128,Inspection Execution – Physical,Calculate Report Completion,Measure report completion.,During Completion,Complete report.,Calculate completed vs pending report fields and update overall wizard progress.,None,Report State,Completion Percentage,Completion contributes to overall inspection progress.,Inspector,Progress Engine,Completion calculated accurately.,module=Inspection Execution – Physical | capability=Calculate Report Completion | purpose=Measure report completion. | user_flow=During Completion | user_actions=Complete report. | system_actions=Calculate completed vs pending report fields and update overall wizard progress. | ai_actions=None | inputs=Report State | outputs=Completion Percentage | business_rules=Completion contributes to overall inspection progress. | personas=Inspector | dependencies=Progress Engine | source_acceptance_criteria=Completion calculated accurately.,PHASE2_IPAD_DEFERRED,DEFERRED_TO_PHASE_2_IPAD,MOD-09,PHASE2,/field/**,PHASE2_IPAD_DEFERRED,WA-AC-0240,,,WA-EV-0240,BASELINED_NOT_IMPLEMENTED
CR-241,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Inspection excution-Start jou,Inspection excution-Start jou!129,Inspection Execution – Physical,Review Report Summary,Display report completion overview.,Leave Report Step,Review summary.,"Display completed sections, pending fields and attached evidence summary.",None,Report Responses,Report Summary,Summary is informational before submission.,Inspector,Review Engine,Summary generated successfully.,"module=Inspection Execution – Physical | capability=Review Report Summary | purpose=Display report completion overview. | user_flow=Leave Report Step | user_actions=Review summary. | system_actions=Display completed sections, pending fields and attached evidence summary. | ai_actions=None | inputs=Report Responses | outputs=Report Summary | business_rules=Summary is informational before submission. | personas=Inspector | dependencies=Review Engine | source_acceptance_criteria=Summary generated successfully.",PHASE2_IPAD_DEFERRED,DEFERRED_TO_PHASE_2_IPAD,MOD-09,PHASE2,/field/**,PHASE2_IPAD_DEFERRED,WA-AC-0241,,IMMUTABLE_VERSION,WA-EV-0241,BASELINED_NOT_IMPLEMENTED
CR-242,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Inspection excution-Start jou,Inspection excution-Start jou!130,Inspection Execution – Physical,Lock Report After Submission,Prevent further report modifications.,Inspection Submitted,View Report.,Render report in read-only mode after submission.,None,Submitted Inspection,Locked Report,Report becomes immutable immediately after submission.,"Inspector, Reviewer",Workflow Engine,Report cannot be modified after submission.,"module=Inspection Execution – Physical | capability=Lock Report After Submission | purpose=Prevent further report modifications. | user_flow=Inspection Submitted | user_actions=View Report. | system_actions=Render report in read-only mode after submission. | ai_actions=None | inputs=Submitted Inspection | outputs=Locked Report | business_rules=Report becomes immutable immediately after submission. | personas=Inspector, Reviewer | dependencies=Workflow Engine | source_acceptance_criteria=Report cannot be modified after submission.",PHASE2_IPAD_DEFERRED,DEFERRED_TO_PHASE_2_IPAD,MOD-09,PHASE2,/field/**,PHASE2_IPAD_DEFERRED,WA-AC-0242,,IMMUTABLE_VERSION,WA-EV-0242,BASELINED_NOT_IMPLEMENTED
CR-243,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Inspection excution-Start jou,Inspection excution-Start jou!131,Inspection Execution – Physical,Generate Report Audit Events,Maintain complete report history.,Throughout Report Completion,None,"Record report opened, section completed, field updated, evidence uploaded, draft saved, resumed and completed events.",None,Report Events,Audit Timeline,Every report interaction shall be auditable.,"Inspector, Reviewer",Audit Service,Audit trail contains all report activities.,"module=Inspection Execution – Physical | capability=Generate Report Audit Events | purpose=Maintain complete report history. | user_flow=Throughout Report Completion | user_actions=None | system_actions=Record report opened, section completed, field updated, evidence uploaded, draft saved, resumed and completed events. | ai_actions=None | inputs=Report Events | outputs=Audit Timeline | business_rules=Every report interaction shall be auditable. | personas=Inspector, Reviewer | dependencies=Audit Service | source_acceptance_criteria=Audit trail contains all report activities.",PHASE2_IPAD_DEFERRED,DEFERRED_TO_PHASE_2_IPAD,MOD-09,PHASE2,/field/**,PHASE2_IPAD_DEFERRED,WA-AC-0243,,AUDIT,WA-EV-0243,BASELINED_NOT_IMPLEMENTED
CR-244,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Inspection excution-Start jou,Inspection excution-Start jou!132,Inspection Execution – Physical,Handle Report Errors,Prevent report data corruption.,Any Failure,Retry.,"Handle rendering failures, validation failures, save failures and evidence upload failures while preserving entered information.",Suggest corrective action where applicable.,Error Context,Error Response,Report failures shall never cause data loss or inconsistent inspection state.,Inspector,"Validation Engine, Draft Service",Report recovers gracefully after failures.,"module=Inspection Execution – Physical | capability=Handle Report Errors | purpose=Prevent report data corruption. | user_flow=Any Failure | user_actions=Retry. | system_actions=Handle rendering failures, validation failures, save failures and evidence upload failures while preserving entered information. | ai_actions=Suggest corrective action where applicable. | inputs=Error Context | outputs=Error Response | business_rules=Report failures shall never cause data loss or inconsistent inspection state. | personas=Inspector | dependencies=Validation Engine, Draft Service | source_acceptance_criteria=Report recovers gracefully after failures.",PHASE2_IPAD_DEFERRED,DEFERRED_TO_PHASE_2_IPAD,MOD-09,PHASE2,/field/**,PHASE2_IPAD_DEFERRED,WA-AC-0244,,,WA-EV-0244,BASELINED_NOT_IMPLEMENTED
CR-245,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Inspection excution-Start jou,Inspection excution-Start jou!133,Inspection Execution – Physical,Load Inspection Checklist,Load the inspection checklist configured for the selected inspection report.,Inspection Report → Inspection Checklist,Open Checklist Step.,Load all configured inspection items from Compliance Configuration according to the selected Report Type.,None,Report Type,Inspection Checklist,Checklist is loaded from the locked inspection package.,Inspector,Compliance Configuration,Correct checklist is displayed.,module=Inspection Execution – Physical | capability=Load Inspection Checklist | purpose=Load the inspection checklist configured for the selected inspection report. | user_flow=Inspection Report → Inspection Checklist | user_actions=Open Checklist Step. | system_actions=Load all configured inspection items from Compliance Configuration according to the selected Report Type. | ai_actions=None | inputs=Report Type | outputs=Inspection Checklist | business_rules=Checklist is loaded from the locked inspection package. | personas=Inspector | dependencies=Compliance Configuration | source_acceptance_criteria=Correct checklist is displayed.,PHASE2_IPAD_DEFERRED,DEFERRED_TO_PHASE_2_IPAD,MOD-09,PHASE2,/field/**,PHASE2_IPAD_DEFERRED,WA-AC-0245,,,WA-EV-0245,BASELINED_NOT_IMPLEMENTED
CR-246,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Inspection excution-Start jou,Inspection excution-Start jou!134,Inspection Execution – Physical,Load Inspection Categories,Organize checklist into logical sections.,Checklist Loaded,Expand / Collapse Categories.,Display checklist grouped by configured categories and subcategories.,None,Checklist,Categorized Checklist,Category sequence follows configuration.,Inspector,Compliance Configuration,Categories displayed correctly.,module=Inspection Execution – Physical | capability=Load Inspection Categories | purpose=Organize checklist into logical sections. | user_flow=Checklist Loaded | user_actions=Expand / Collapse Categories. | system_actions=Display checklist grouped by configured categories and subcategories. | ai_actions=None | inputs=Checklist | outputs=Categorized Checklist | business_rules=Category sequence follows configuration. | personas=Inspector | dependencies=Compliance Configuration | source_acceptance_criteria=Categories displayed correctly.,PHASE2_IPAD_DEFERRED,DEFERRED_TO_PHASE_2_IPAD,MOD-09,PHASE2,/field/**,PHASE2_IPAD_DEFERRED,WA-AC-0246,,,WA-EV-0246,BASELINED_NOT_IMPLEMENTED
CR-247,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Inspection excution-Start jou,Inspection excution-Start jou!135,Inspection Execution – Physical,Load Required Inspection Items,Display mandatory inspection items.,Category Opened,Answer Item.,Mark configured mandatory items.,None,Configuration,Required Items,Mandatory items cannot be skipped.,Inspector,Rule Engine,Mandatory items clearly identified.,module=Inspection Execution – Physical | capability=Load Required Inspection Items | purpose=Display mandatory inspection items. | user_flow=Category Opened | user_actions=Answer Item. | system_actions=Mark configured mandatory items. | ai_actions=None | inputs=Configuration | outputs=Required Items | business_rules=Mandatory items cannot be skipped. | personas=Inspector | dependencies=Rule Engine | source_acceptance_criteria=Mandatory items clearly identified.,PHASE2_IPAD_DEFERRED,DEFERRED_TO_PHASE_2_IPAD,MOD-09,PHASE2,/field/**,PHASE2_IPAD_DEFERRED,WA-AC-0247,,,WA-EV-0247,BASELINED_NOT_IMPLEMENTED
CR-248,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Inspection excution-Start jou,Inspection excution-Start jou!136,Inspection Execution – Physical,Load Optional Inspection Items,Display optional inspection items.,Category Opened,Answer or Skip.,Display optional items.,None,Configuration,Optional Items,Optional items may remain unanswered.,Inspector,Rule Engine,Optional items identified correctly.,module=Inspection Execution – Physical | capability=Load Optional Inspection Items | purpose=Display optional inspection items. | user_flow=Category Opened | user_actions=Answer or Skip. | system_actions=Display optional items. | ai_actions=None | inputs=Configuration | outputs=Optional Items | business_rules=Optional items may remain unanswered. | personas=Inspector | dependencies=Rule Engine | source_acceptance_criteria=Optional items identified correctly.,PHASE2_IPAD_DEFERRED,DEFERRED_TO_PHASE_2_IPAD,MOD-09,PHASE2,/field/**,PHASE2_IPAD_DEFERRED,WA-AC-0248,,,WA-EV-0248,BASELINED_NOT_IMPLEMENTED
CR-249,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Inspection excution-Start jou,Inspection excution-Start jou!137,Inspection Execution – Physical,Load Previous Inspection Answers,Display historical inspection responses.,Item Opened,Review previous answer.,Load latest approved answer from previous inspections for comparison.,Highlight previously non-compliant items.,Factory History,Previous Responses,Historical answers are read-only.,Inspector,Inspection Repository,Previous answers displayed successfully.,module=Inspection Execution – Physical | capability=Load Previous Inspection Answers | purpose=Display historical inspection responses. | user_flow=Item Opened | user_actions=Review previous answer. | system_actions=Load latest approved answer from previous inspections for comparison. | ai_actions=Highlight previously non-compliant items. | inputs=Factory History | outputs=Previous Responses | business_rules=Historical answers are read-only. | personas=Inspector | dependencies=Inspection Repository | source_acceptance_criteria=Previous answers displayed successfully.,PHASE2_IPAD_DEFERRED,DEFERRED_TO_PHASE_2_IPAD,MOD-09,PHASE2,/field/**,PHASE2_IPAD_DEFERRED,WA-AC-0249,,,WA-EV-0249,BASELINED_NOT_IMPLEMENTED
CR-250,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Inspection excution-Start jou,Inspection excution-Start jou!138,Inspection Execution – Physical,Load Previous Evidence,Display historical inspection evidence.,Item Opened,Review evidence.,Load previous inspection photos and attachments.,None,Previous Inspection,Historical Evidence,Historical evidence is read-only.,Inspector,Evidence Repository,Historical evidence displayed correctly.,module=Inspection Execution – Physical | capability=Load Previous Evidence | purpose=Display historical inspection evidence. | user_flow=Item Opened | user_actions=Review evidence. | system_actions=Load previous inspection photos and attachments. | ai_actions=None | inputs=Previous Inspection | outputs=Historical Evidence | business_rules=Historical evidence is read-only. | personas=Inspector | dependencies=Evidence Repository | source_acceptance_criteria=Historical evidence displayed correctly.,PHASE2_IPAD_DEFERRED,DEFERRED_TO_PHASE_2_IPAD,MOD-12,PHASE2,/field/**,PHASE2_IPAD_DEFERRED,WA-AC-0250,,,WA-EV-0250,BASELINED_NOT_IMPLEMENTED
CR-251,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Inspection excution-Start jou,Inspection excution-Start jou!139,Inspection Execution – Physical,Display Inspection Item Details,Present complete inspection requirement.,Item Opened,Review item.,"Display Item Name, Description, Regulation Reference, Evidence Requirements, Guidance Notes and Response Type.",Explain requirement (future AI).,Inspection Item,Inspection Item Details,Item details are configuration-driven.,Inspector,Compliance Configuration,Inspector has complete inspection context.,"module=Inspection Execution – Physical | capability=Display Inspection Item Details | purpose=Present complete inspection requirement. | user_flow=Item Opened | user_actions=Review item. | system_actions=Display Item Name, Description, Regulation Reference, Evidence Requirements, Guidance Notes and Response Type. | ai_actions=Explain requirement (future AI). | inputs=Inspection Item | outputs=Inspection Item Details | business_rules=Item details are configuration-driven. | personas=Inspector | dependencies=Compliance Configuration | source_acceptance_criteria=Inspector has complete inspection context.",PHASE2_IPAD_DEFERRED,DEFERRED_TO_PHASE_2_IPAD,MOD-09,PHASE2,/field/**,PHASE2_IPAD_DEFERRED,WA-AC-0251,,,WA-EV-0251,BASELINED_NOT_IMPLEMENTED
CR-252,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Inspection excution-Start jou,Inspection excution-Start jou!140,Inspection Execution – Physical,Capture Inspection Response,Record inspector answer.,Answer Item,Select response.,Save selected response for the inspection item.,None,Inspector Response,Recorded Response,Only configured response values are allowed.,Inspector,Checklist Engine,Response saved successfully.,module=Inspection Execution – Physical | capability=Capture Inspection Response | purpose=Record inspector answer. | user_flow=Answer Item | user_actions=Select response. | system_actions=Save selected response for the inspection item. | ai_actions=None | inputs=Inspector Response | outputs=Recorded Response | business_rules=Only configured response values are allowed. | personas=Inspector | dependencies=Checklist Engine | source_acceptance_criteria=Response saved successfully.,PHASE2_IPAD_DEFERRED,DEFERRED_TO_PHASE_2_IPAD,MOD-09,PHASE2,/field/**,PHASE2_IPAD_DEFERRED,WA-AC-0252,,,WA-EV-0252,BASELINED_NOT_IMPLEMENTED
CR-253,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Inspection excution-Start jou,Inspection excution-Start jou!141,Inspection Execution – Physical,Apply Response Validation,Validate response before saving.,Save Response,Complete response.,Validate response according to configured response type and business rules.,None,Response,Validation Result,Invalid responses cannot be saved.,Inspector,Validation Engine,Validation executes correctly.,module=Inspection Execution – Physical | capability=Apply Response Validation | purpose=Validate response before saving. | user_flow=Save Response | user_actions=Complete response. | system_actions=Validate response according to configured response type and business rules. | ai_actions=None | inputs=Response | outputs=Validation Result | business_rules=Invalid responses cannot be saved. | personas=Inspector | dependencies=Validation Engine | source_acceptance_criteria=Validation executes correctly.,PHASE2_IPAD_DEFERRED,DEFERRED_TO_PHASE_2_IPAD,MOD-09,PHASE2,/field/**,PHASE2_IPAD_DEFERRED,WA-AC-0253,,,WA-EV-0253,BASELINED_NOT_IMPLEMENTED
CR-254,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Inspection excution-Start jou,Inspection excution-Start jou!142,Inspection Execution – Physical,Evaluate Compliance Result,Determine compliance outcome.,Response Saved,None,Evaluate whether response is Compliant or Non-Compliant based on configured rules.,None,Response,Compliance Result,Evaluation is automatic.,Inspector,Rule Engine,Compliance calculated correctly.,module=Inspection Execution – Physical | capability=Evaluate Compliance Result | purpose=Determine compliance outcome. | user_flow=Response Saved | user_actions=None | system_actions=Evaluate whether response is Compliant or Non-Compliant based on configured rules. | ai_actions=None | inputs=Response | outputs=Compliance Result | business_rules=Evaluation is automatic. | personas=Inspector | dependencies=Rule Engine | source_acceptance_criteria=Compliance calculated correctly.,PHASE2_IPAD_DEFERRED,DEFERRED_TO_PHASE_2_IPAD,MOD-09,PHASE2,/field/**,PHASE2_IPAD_DEFERRED,WA-AC-0254,,,WA-EV-0254,BASELINED_NOT_IMPLEMENTED
CR-255,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Inspection excution-Start jou,Inspection excution-Start jou!143,Inspection Execution – Physical,Generate Violation,Automatically generate violation when applicable.,Non-Compliant Response,None,Retrieve linked violation from Compliance Configuration.,None,Compliance Result,Violation,Inspector cannot modify generated violation.,Inspector,Compliance Configuration,Correct violation generated automatically.,module=Inspection Execution – Physical | capability=Generate Violation | purpose=Automatically generate violation when applicable. | user_flow=Non-Compliant Response | user_actions=None | system_actions=Retrieve linked violation from Compliance Configuration. | ai_actions=None | inputs=Compliance Result | outputs=Violation | business_rules=Inspector cannot modify generated violation. | personas=Inspector | dependencies=Compliance Configuration | source_acceptance_criteria=Correct violation generated automatically.,PHASE2_IPAD_DEFERRED,DEFERRED_TO_PHASE_2_IPAD,MOD-12,PHASE2,/field/**,PHASE2_IPAD_DEFERRED,WA-AC-0255,,,WA-EV-0255,BASELINED_NOT_IMPLEMENTED
CR-256,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Inspection excution-Start jou,Inspection excution-Start jou!144,Inspection Execution – Physical,Display Penalty,Display applicable penalty.,Violation Generated,Review penalty.,Display configured penalty linked to the generated violation.,None,Violation,Penalty,Penalty is informational during inspection.,Inspector,Compliance Configuration,Correct penalty displayed.,module=Inspection Execution – Physical | capability=Display Penalty | purpose=Display applicable penalty. | user_flow=Violation Generated | user_actions=Review penalty. | system_actions=Display configured penalty linked to the generated violation. | ai_actions=None | inputs=Violation | outputs=Penalty | business_rules=Penalty is informational during inspection. | personas=Inspector | dependencies=Compliance Configuration | source_acceptance_criteria=Correct penalty displayed.,PHASE2_IPAD_DEFERRED,DEFERRED_TO_PHASE_2_IPAD,MOD-12,PHASE2,/field/**,PHASE2_IPAD_DEFERRED,WA-AC-0256,,,WA-EV-0256,BASELINED_NOT_IMPLEMENTED
CR-257,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Inspection excution-Start jou,Inspection excution-Start jou!145,Inspection Execution – Physical,Display Corrective Action,Display required corrective action.,Violation Generated,Review corrective action.,Display configured corrective action associated with the generated violation.,None,Violation,Corrective Action,Corrective action is read-only.,Inspector,Compliance Configuration,Correct corrective action displayed.,module=Inspection Execution – Physical | capability=Display Corrective Action | purpose=Display required corrective action. | user_flow=Violation Generated | user_actions=Review corrective action. | system_actions=Display configured corrective action associated with the generated violation. | ai_actions=None | inputs=Violation | outputs=Corrective Action | business_rules=Corrective action is read-only. | personas=Inspector | dependencies=Compliance Configuration | source_acceptance_criteria=Correct corrective action displayed.,PHASE2_IPAD_DEFERRED,DEFERRED_TO_PHASE_2_IPAD,MOD-09,PHASE2,/field/**,PHASE2_IPAD_DEFERRED,WA-AC-0257,,,WA-EV-0257,BASELINED_NOT_IMPLEMENTED
CR-258,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Inspection excution-Start jou,Inspection excution-Start jou!146,Inspection Execution – Physical,Capture Inspector Comments,Record additional findings.,Item Completed,Enter comments.,Save inspector comments linked to the inspection item.,None,Comments,Inspector Notes,Comments remain editable until submission.,Inspector,Checklist Engine,Comments stored successfully.,module=Inspection Execution – Physical | capability=Capture Inspector Comments | purpose=Record additional findings. | user_flow=Item Completed | user_actions=Enter comments. | system_actions=Save inspector comments linked to the inspection item. | ai_actions=None | inputs=Comments | outputs=Inspector Notes | business_rules=Comments remain editable until submission. | personas=Inspector | dependencies=Checklist Engine | source_acceptance_criteria=Comments stored successfully.,PHASE2_IPAD_DEFERRED,DEFERRED_TO_PHASE_2_IPAD,MOD-09,PHASE2,/field/**,PHASE2_IPAD_DEFERRED,WA-AC-0258,,IMMUTABLE_VERSION,WA-EV-0258,BASELINED_NOT_IMPLEMENTED
CR-259,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Inspection excution-Start jou,Inspection excution-Start jou!147,Inspection Execution – Physical,Attach Evidence to Inspection Item,Support findings with evidence.,Item Completed,"Upload Photo, Video, Document or Comment.",Link uploaded evidence to the inspection item.,None,Media,Item Evidence,Evidence remains attached to originating inspection item.,Inspector,Evidence Service,Evidence linked correctly.,"module=Inspection Execution – Physical | capability=Attach Evidence to Inspection Item | purpose=Support findings with evidence. | user_flow=Item Completed | user_actions=Upload Photo, Video, Document or Comment. | system_actions=Link uploaded evidence to the inspection item. | ai_actions=None | inputs=Media | outputs=Item Evidence | business_rules=Evidence remains attached to originating inspection item. | personas=Inspector | dependencies=Evidence Service | source_acceptance_criteria=Evidence linked correctly.",PHASE2_IPAD_DEFERRED,DEFERRED_TO_PHASE_2_IPAD,MOD-12,PHASE2,/field/**,PHASE2_IPAD_DEFERRED,WA-AC-0259,,,WA-EV-0259,BASELINED_NOT_IMPLEMENTED
CR-260,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Inspection excution-Start jou,Inspection excution-Start jou!148,Inspection Execution – Physical,Annotate Inspection Evidence,Improve evidence quality.,Evidence Uploaded,Annotate image.,Save annotation while preserving original media.,None,Image,Annotated Evidence,Original evidence remains unchanged.,Inspector,Media Service,Annotation stored successfully.,module=Inspection Execution – Physical | capability=Annotate Inspection Evidence | purpose=Improve evidence quality. | user_flow=Evidence Uploaded | user_actions=Annotate image. | system_actions=Save annotation while preserving original media. | ai_actions=None | inputs=Image | outputs=Annotated Evidence | business_rules=Original evidence remains unchanged. | personas=Inspector | dependencies=Media Service | source_acceptance_criteria=Annotation stored successfully.,PHASE2_IPAD_DEFERRED,DEFERRED_TO_PHASE_2_IPAD,MOD-12,PHASE2,/field/**,PHASE2_IPAD_DEFERRED,WA-AC-0260,,,WA-EV-0260,BASELINED_NOT_IMPLEMENTED
CR-261,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Inspection excution-Start jou,Inspection excution-Start jou!149,Inspection Execution – Physical,Track Checklist Progress,Display checklist completion.,Throughout Checklist,View progress.,Calculate completed items versus remaining items.,None,Responses,Checklist Progress,Progress contributes to overall inspection completion.,Inspector,Progress Engine,Progress displayed accurately.,module=Inspection Execution – Physical | capability=Track Checklist Progress | purpose=Display checklist completion. | user_flow=Throughout Checklist | user_actions=View progress. | system_actions=Calculate completed items versus remaining items. | ai_actions=None | inputs=Responses | outputs=Checklist Progress | business_rules=Progress contributes to overall inspection completion. | personas=Inspector | dependencies=Progress Engine | source_acceptance_criteria=Progress displayed accurately.,PHASE2_IPAD_DEFERRED,DEFERRED_TO_PHASE_2_IPAD,MOD-09,PHASE2,/field/**,PHASE2_IPAD_DEFERRED,WA-AC-0261,,,WA-EV-0261,BASELINED_NOT_IMPLEMENTED
CR-262,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Inspection excution-Start jou,Inspection excution-Start jou!150,Inspection Execution – Physical,Review Checklist Summary,Summarize inspection findings.,Leave Checklist Step,Review summary.,"Display total answered items, pending items, compliant items, non-compliant items, violations and evidence count.",Highlight critical findings.,Checklist Responses,Checklist Summary,Summary updates dynamically.,Inspector,Review Engine,Summary reflects actual inspection state.,"module=Inspection Execution – Physical | capability=Review Checklist Summary | purpose=Summarize inspection findings. | user_flow=Leave Checklist Step | user_actions=Review summary. | system_actions=Display total answered items, pending items, compliant items, non-compliant items, violations and evidence count. | ai_actions=Highlight critical findings. | inputs=Checklist Responses | outputs=Checklist Summary | business_rules=Summary updates dynamically. | personas=Inspector | dependencies=Review Engine | source_acceptance_criteria=Summary reflects actual inspection state.",PHASE2_IPAD_DEFERRED,DEFERRED_TO_PHASE_2_IPAD,MOD-09,PHASE2,/field/**,PHASE2_IPAD_DEFERRED,WA-AC-0262,,,WA-EV-0262,BASELINED_NOT_IMPLEMENTED
CR-263,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Inspection excution-Start jou,Inspection excution-Start jou!151,Inspection Execution – Physical,Save Checklist Draft,Preserve checklist progress.,Any Time,Save Draft.,"Save responses, comments and evidence.",None,Checklist,Draft Checklist,Draft remains editable before submission.,Inspector,Draft Service,Draft restored successfully.,"module=Inspection Execution – Physical | capability=Save Checklist Draft | purpose=Preserve checklist progress. | user_flow=Any Time | user_actions=Save Draft. | system_actions=Save responses, comments and evidence. | ai_actions=None | inputs=Checklist | outputs=Draft Checklist | business_rules=Draft remains editable before submission. | personas=Inspector | dependencies=Draft Service | source_acceptance_criteria=Draft restored successfully.",PHASE2_IPAD_DEFERRED,DEFERRED_TO_PHASE_2_IPAD,MOD-09,PHASE2,/field/**,PHASE2_IPAD_DEFERRED,WA-AC-0263,,IMMUTABLE_VERSION,WA-EV-0263,BASELINED_NOT_IMPLEMENTED
