finding_id,current_term,complete_current_phrase,file,line,route_or_surface,persona,visible_to_user,usage_type,localization_key,current_english,current_arabic,proposed_english,proposed_arabic,classification,legal_or_regulatory_risk,rationale,implementation_status,validation_evidence
W2-REV-009,RLS-scoped / RLS / /reviews,SCR-WEB-300 · /reviews · RLS-scoped (context badge),apps/web/src/app/reviews/page.tsx,268,Review & Approval,,,,review.list.context,,,Read-only queue,قائمة للاطّلاع فقط,dev-jargon-banner,none,,implemented,Wave 2 (Review & Approval); typecheck pass
W2-REV-010,RLS remains the boundary,Navigation visibility is not authorization; RLS remains the boundary.,apps/web/src/app/reviews/page.tsx,273,Review & Approval,,,,review.list.unauthBody,,,Navigation visibility is not authorization.,تتطلب هذه القائمة دور مراجع المستوى الثاني والنطاق المطابق له. ظهور الرابط في التنقل لا يعني وجود صلاحية.,dev-jargon-caption,none,,implemented,Wave 2 (Review & Approval); typecheck pass
W2-REV-011,RLS remains the boundary,Navigation visibility is not authorization; RLS remains the boundary.,apps/web/src/app/reviews/[id]/page.tsx,61,Review & Approval,,,,review.ws.unauthBody,,,Navigation visibility is not authorization.,تتطلب مساحة العمل هذه دور مراجع المستوى الثاني والنطاق المطابق له. ظهور الرابط في التنقل لا يعني وجود صلاحية.,dev-jargon-caption,none,,implemented,Wave 2 (Review & Approval); typecheck pass
W2-REV-012,(RLS),"Inspection not found, or outside your review scope (RLS).",apps/web/src/app/reviews/[id]/actions.ts,48,Review & Approval,,,,,,,"Inspection not found, or outside your review scope.",,dev-jargon-error-toast,none,,implemented,Wave 2 (Review & Approval); typecheck pass
W2-REV-013,(RLS),"The review could not be found, or is outside your review scope (RLS).",apps/web/src/app/reviews/[id]/actions.ts,115,Review & Approval,,,,,,,"The review could not be found, or is outside your review scope.",,dev-jargon-error-toast,none,,implemented,Wave 2 (Review & Approval); typecheck pass
W2-REV-014,M06-005,This inspection is not awaiting a Level 2 review (M06-005).,apps/web/src/app/reviews/[id]/actions.ts,50,Review & Approval,,,,,,,This inspection is not awaiting a Level 2 review.,,dev-jargon-error-toast,none,,implemented,Wave 2 (Review & Approval); typecheck pass
W2-REV-015,SCR-WEB-320,Version comparison — Tamper-evident Scope Rail (SCR-WEB-320),apps/web/src/app/reviews/[id]/page.tsx,193,Review & Approval,,,,review.cmp.heading,,,Version comparison — Tamper-evident Scope Rail,مقارنة النسخ — شريط النطاق الكاشف للتلاعب,dev-jargon-heading,none,,implemented,Wave 2 (Review & Approval); typecheck pass
W2-REV-016,M06-050,Read every flagged row before deciding (M06-050).,apps/web/src/app/reviews/[id]/page.tsx,206,Review & Approval,,,,review.cmp.tamperBody,,,Read every flagged row before deciding.,تغيّرت إجابة خارج الأقسام التي أعادها المراجع. اقرأ كل صف مُعلَّم قبل اتخاذ القرار.,dev-jargon-caption,none,,implemented,Wave 2 (Review & Approval); typecheck pass
W2-REV-017,M06-006/043,Only selected sections unlock; the rest stays locked (M06-006/043).,apps/web/src/app/reviews/[id]/page.tsx,235,Review & Approval,,,,review.ws.returnScopeHint,,,Only selected sections unlock; the rest stays locked.,تُفتح الأقسام المحدَّدة فقط؛ وتبقى بقية الأقسام مقفلة.,dev-jargon-caption,none,,implemented,Wave 2 (Review & Approval); typecheck pass
W2-REV-018,M06-002 / M06-007/008 / M06-009/027,Irreversible (M06-002): / Final (M06-007/008): / Audited: ... timestamp (M06-009/027).,apps/web/src/app/reviews/[id]/page.tsx,"238,240,244",Review & Approval,,,,"review.ws.approveWarnTitle, review.ws.rejectWarnTitle, review.ws.audited",,,Irreversible: / Final: / Audited: ... timestamp.,لا رجعة فيه:,dev-jargon-banner,none,,implemented,Wave 2 (Review & Approval); typecheck pass
W2-REV-019,M06-012,Read-only submitted version (M06-012).,apps/web/src/app/reviews/[id]/page.tsx,268,Review & Approval,,,,review.ws.readOnlyTitle,,,Read-only submitted version.,نسخة مُقدَّمة للاطّلاع فقط.,dev-jargon-banner,none,,implemented,Wave 2 (Review & Approval); typecheck pass
W2-REV-020,"FND-007/M04-112, M04-113",Observations never modify the Senaei source record (FND-007/M04-112); checks are audit-logged with before/after values (M04-113).,apps/web/src/app/reviews/[id]/page.tsx,332,Review & Approval,,,,review.ws.fvNote,,,Observations never modify the Senaei source record; checks are audit-logged with before/after values.,لا تُعدِّل الملاحظات سجل سنائي المصدر أبدًا؛ وتُسجَّل عمليات التحقق في سجل التدقيق بقيم ما قبل/بعد.,dev-jargon-caption,none,,implemented,Wave 2 (Review & Approval); typecheck pass
W2-REV-021,ENG-12,Timeline — audit trail (ENG-12),apps/web/src/app/reviews/[id]/page.tsx,373,Review & Approval,,,,review.ws.timelineHeading,,,Timeline — audit trail,الجدول الزمني — سجل التدقيق,dev-jargon-heading,none,,implemented,Wave 2 (Review & Approval); typecheck pass
W2-REV-022,FND-003,Append-only rows from audit_events; the database rejects edits and deletes (FND-003).,apps/web/src/app/reviews/[id]/page.tsx,381,Review & Approval,,,,review.ws.timelineNote,,,Append-only rows from audit_events; the database rejects edits and deletes.,صفوف تُضاف فقط من audit_events؛ وترفض قاعدة البيانات أي تعديل أو حذف لها.,dev-jargon-caption,none,,implemented,Wave 2 (Review & Approval); typecheck pass
W2-REV-023,SCR-WEB-320,"Fetching checklist, evidence, factory verification and version comparison data (SCR-WEB-320).",apps/web/src/app/reviews/[id]/loading.tsx,11,Review & Approval,,,,review.ws.loadingDesc,,,"Fetching checklist, evidence, factory verification and version comparison data.",يجري جلب بيانات قائمة التفتيش والأدلة والتحقق من المصنع ومقارنة النسخ.,dev-jargon-loading-state,none,,implemented,Wave 2 (Review & Approval); typecheck pass
W2-REV-024,M06-014,Search the review queue (M06-014),apps/web/src/app/reviews/page.tsx,222,Review & Approval,,,,review.list.searchAria,,,Search the review queue,البحث في قائمة انتظار المراجعة,dev-jargon-aria-label,none,,implemented,Wave 2 (Review & Approval); typecheck pass
W2-REV-025,RLS-scoped,derived (RLS-scoped),apps/web/src/app/reviews/page.tsx,258,Review & Approval,,,,review.list.fp.readyBlockTag,,,derived,مُستنتج,dev-jargon-tag,none,,implemented,String is defined but currently unreferenced in DecisionPanel.tsx render output; fixed proactively in case of future use.
ops-001,Operational,"thOperational: t(""ops.live.th.operational"", ""Operational"")",apps/web/src/app/operations/page.tsx,369,"/operations (live monitoring table + CSV export + SLA table headers, all reuse this key)",,true,,ops.live.th.operational,,,Visit status,حالة الزيارة,column-header,none,Glossary: operational [column header] -> Visit status,implemented,Wave 2 (Operations Center); typecheck pass
ops-002,SLA watch,"t(""ops.sla.heading"", ""SLA watch (ENG-09)"")",apps/web/src/app/operations/page.tsx,517,/operations SLA panel heading,,true,,ops.sla.heading,,,Deadline alerts,تنبيهات المواعيد النهائية,section-heading,none,Glossary: SLA watch -> Deadline alerts; also stripped ENG-09 implementation jargon from a production heading per remediation method,implemented,Wave 2 (Operations Center); typecheck pass
ops-003,SLA watch,"label: t(""ops.export.sla"", ""SLA watch"")",apps/web/src/app/operations/page.tsx,431,/operations CSV export button row,,true,,ops.export.sla,,,Deadline alerts,تنبيهات المواعيد النهائية,button-label,none,,implemented,Wave 2 (Operations Center); typecheck pass
ops-004,SLA,"t(""ops.sla.th.sla"", ""SLA"")",apps/web/src/app/operations/page.tsx,"436, 523",/operations SLA table + CSV export headers,,true,,ops.sla.th.sla,,,Deadline status,حالة الموعد النهائي,column-header,none,"Ordinary operational-user surface; column actually renders the overdue/reminder flag kind, so 'Deadline status' is accurate per the SLA-term guidance",implemented,Wave 2 (Operations Center); typecheck pass
ops-005,No SLA breaches in scope,"title={t(""ops.sla.empty.title"", ""No SLA breaches in scope"")}",apps/web/src/app/operations/page.tsx,519,/operations SLA panel empty state,,true,,ops.sla.empty.title,,,No deadline alerts in scope,لا توجد تنبيهات مواعيد نهائية ضمن النطاق,empty-state,none,Kept consistent with the renamed 'Deadline alerts' section heading,implemented,Wave 2 (Operations Center); typecheck pass
ops-006,Geofence override approvals,"heading: t(""ops.override.heading"", ""Geofence override approvals (M04-043)"")",apps/web/src/app/operations/page.tsx,388,/operations override-queue panel heading,,true,,ops.override.heading,,,Location exception requests,طلبات استثناء الموقع,section-heading,none,Glossary: geofence override approvals -> Location exception requests; also stripped M04-043 implementation code from a production heading,implemented,Wave 2 (Operations Center); typecheck pass
ops-007,KSA operations map,"t(""ops.map.heading"", ""KSA operations map (M08-002 · ENG-06)"")",apps/web/src/app/operations/page.tsx,495,/operations map panel heading,,true,,ops.map.heading,,,Live inspection map,خريطة التفتيش المباشرة,section-heading,none,Glossary: KSA operations map -> Live inspection map; also stripped M08-002/ENG-06 implementation codes,implemented,Wave 2 (Operations Center); typecheck pass
ops-008,Partial service,"<strong>{t(""ops.err.partial"", ""Partial service — some panels could not load."")}</strong>",apps/web/src/app/operations/page.tsx,467,/operations top-of-page partial-load banner,,true,,ops.err.partial,,,Some information could not be loaded.,تعذّر تحميل بعض المعلومات.,error-banner,none,Glossary: Partial service -> Some information could not be loaded,implemented,Wave 2 (Operations Center); typecheck pass
ops-009,dossier,"selectHint: t(""ops.map.selectHint"", ""Click a pin to open the visit or factory dossier."")",apps/web/src/app/operations/page.tsx,382,/operations map panel hint text,,true,,ops.map.selectHint,,,Click a pin to open the visit or factory profile.,انقر على دبوس لفتح الزيارة أو ملف المصنع.,helper-text,none,Glossary: dossier (destination page) -> Factory profile,implemented,Wave 2 (Operations Center); typecheck pass
ops-010,factory registry,"factoriesRes.error && ""factory registry""",apps/web/src/app/operations/page.tsx,227,/operations partial-load banner error list,,true,,"n/a (plain string, joined into ops.err.partial banner)",,,factory list,,error-list-item,none,Glossary: registry -> Factory list,implemented,Wave 2 (Operations Center); typecheck pass
ops-011,override approvals,"overrideRes.error && ""override approvals""",apps/web/src/app/operations/page.tsx,230,/operations partial-load banner error list,,true,,"n/a (plain string, joined into ops.err.partial banner)",,,location exception requests,,error-list-item,none,Kept consistent with the renamed 'Location exception requests' panel,implemented,Wave 2 (Operations Center); typecheck pass
ops-012,ENG-09 config threshold note,"t(""ops.sla.confNote"", ""Thresholds from engine_settings (ENG-09):"")",apps/web/src/app/operations/page.tsx,541,Operations Center,,,,,,,(left unchanged),,config-provenance-text,none,,"skipped-reason:genuine admin/config-provenance text, not an ordinary user label — kept per SLA admin-surface exception and CLAUDE.md's ban on altering policy-value provenance wording",Wave 2 (Operations Center); typecheck pass
W3-1-WAVE3-SHELL-01,Compliance Library,"labelEn: ""Compliance Library"" (id: compliance-library)",apps/web/src/lib/shell-navigation.ts,103,main sidebar nav / /admin/regulations,business admin,yes,,,,,Inspection Rules,,nav-label,none,,"skipped-reason:file outside assigned scope (lib/ not components/); nav labels for Shell.tsx/ShellClient.tsx originate here, not in the components I was scoped to edit",Wave 3 (Shared Shell & Navigation); typecheck pass
W3-1-WAVE3-SHELL-02,Approval Queue,"labelEn: ""Approval Queue"" (id: approval-queue)",apps/web/src/lib/shell-navigation.ts,104,Shared Shell & Navigation,,,,,,,Awaiting Approval,,nav-label,none,,skipped-reason:file outside assigned scope,Wave 3 (Shared Shell & Navigation); typecheck pass
W3-1-WAVE3-SHELL-03,Enforcement Library,"labelEn: ""Enforcement Library"" (id: enforcement-library)",apps/web/src/lib/shell-navigation.ts,105,Shared Shell & Navigation,,,,,,,Violations & Penalties,,nav-label,none,,skipped-reason:file outside assigned scope,Wave 3 (Shared Shell & Navigation); typecheck pass
W3-1-WAVE3-SHELL-04,Lookup Management,"labelEn: ""Lookup Management"" (id: lookups)",apps/web/src/lib/shell-navigation.ts,125,Shared Shell & Navigation,,,,,,,Reference Lists,,nav-label,none,,skipped-reason:file outside assigned scope,Wave 3 (Shared Shell & Navigation); typecheck pass
W3-1-WAVE3-SHELL-05,Risk Configuration,"labelEn: ""Risk Configuration"" (id: risk)",apps/web/src/lib/shell-navigation.ts,126,Shared Shell & Navigation,,,,,,,Risk Settings,,nav-label,none,,skipped-reason:file outside assigned scope,Wave 3 (Shared Shell & Navigation); typecheck pass
W3-1-WAVE3-SHELL-06,Survey Configuration,"labelEn: ""Survey Configuration"" (id: surveys)",apps/web/src/lib/shell-navigation.ts,127,Shared Shell & Navigation,,,,,,,Inspection Forms,,nav-label,none,,skipped-reason:file outside assigned scope,Wave 3 (Shared Shell & Navigation); typecheck pass
W3-1-WAVE3-SHELL-07,Notification Configuration,"labelEn: ""Notification Configuration"" (id: notifications)",apps/web/src/lib/shell-navigation.ts,128,Shared Shell & Navigation,,,,,,,Notification Settings,,nav-label,none,,skipped-reason:file outside assigned scope,Wave 3 (Shared Shell & Navigation); typecheck pass
W3-1-WAVE3-SHELL-08,Integration Management,"labelEn: ""Integration Management"" (id: integrations)",apps/web/src/lib/shell-navigation.ts,129,Shared Shell & Navigation,,,,,,,System Connections,,nav-label,none,,skipped-reason:file outside assigned scope,Wave 3 (Shared Shell & Navigation); typecheck pass
W3-1-WAVE3-SHELL-09,Workflow Configuration,"labelEn: ""Workflow Configuration"" (id: workflows)",apps/web/src/lib/shell-navigation.ts,130,Shared Shell & Navigation,,,,,,,Workflow Settings,,nav-label,none,,skipped-reason:file outside assigned scope,Wave 3 (Shared Shell & Navigation); typecheck pass
W3-1-WAVE3-SHELL-10,GIS Configuration,"labelEn: ""GIS Configuration"" (id: gis)",apps/web/src/lib/shell-navigation.ts,131,Shared Shell & Navigation,,,,,,,Map Settings,,nav-label,none,,"skipped-reason:file outside assigned scope (also note: glossary says keep raw 'geofence' in this GIS admin surface itself, only the nav label rewords to Map Settings)",Wave 3 (Shared Shell & Navigation); typecheck pass
W3-1-WAVE3-SHELL-11,Audit Trail,"labelEn: ""Audit Trail"" (id: audit)",apps/web/src/lib/shell-navigation.ts,132,Shared Shell & Navigation,,,,,,,Activity Log,,nav-label,none,,skipped-reason:file outside assigned scope,Wave 3 (Shared Shell & Navigation); typecheck pass
W3-1-WAVE3-SHELL-12,Platform Operations,"labelEn: ""Platform Operations"" (id: platform-operations)",apps/web/src/lib/shell-navigation.ts,133,Shared Shell & Navigation,,,,,,,System Operations,,nav-label,none,,skipped-reason:file outside assigned scope,Wave 3 (Shared Shell & Navigation); typecheck pass
W3-1-WAVE3-SHELL-13,Bulk Violation Issuance,"labelEn: ""Bulk Violation Issuance"" (id: bulk-violations)",apps/web/src/lib/shell-navigation.ts,139,Shared Shell & Navigation,,,,,,,Issue Multiple Violations,,nav-label,none,,skipped-reason:file outside assigned scope,Wave 3 (Shared Shell & Navigation); typecheck pass
W3-1-WAVE3-SHELL-14,Localization,"labelEn: ""Localization"" (id: localization)",apps/web/src/lib/shell-navigation.ts,140,Shared Shell & Navigation,,,,,,,Language & Translations,,nav-label,none,,skipped-reason:file outside assigned scope,Wave 3 (Shared Shell & Navigation); typecheck pass
W3-1-WAVE3-SHELL-15,Enforcement Cases,"labelEn: ""Enforcement Cases"" (id: enforcement-cases)",apps/web/src/lib/shell-navigation.ts,141,Shared Shell & Navigation,,,,,,,Violation Cases,,nav-label,none,,skipped-reason:file outside assigned scope,Wave 3 (Shared Shell & Navigation); typecheck pass
W3-1-WAVE3-SHELL-16,dossier,// search opens the field-native Factory 360 instead of the web dossier.,apps/web/src/components/ShellClient.tsx,332,Shared Shell & Navigation,,,,,,,n/a — left as-is,,"code comment (developer-facing, not user-visible)",none,,"skipped-reason:code comment, explicitly excluded from remediation by instructions",Wave 3 (Shared Shell & Navigation); typecheck pass
W3-2-W3-01,Compliance Library,Compliance Library — regulation register,apps/web/src/app/admin/regulations/page.tsx,180,Compliance & Enforcement,,true,,admin.reg.r1.title,Compliance Library — regulation register,,Inspection Rules — regulation register,قواعد التفتيش — سجل اللوائح,nav/page-title,none,Direct glossary mapping: Compliance Library -> Inspection Rules,implemented,Wave 3 (Compliance & Enforcement); typecheck pass
W3-2-W3-02,Compliance Library,"aria-label=""Compliance Library"" on the regulations sub-nav",apps/web/src/app/admin/regulations/page.tsx,194,Compliance & Enforcement,,,,,Compliance Library,,Inspection Rules,,aria-label,none,Keep aria-label consistent with the renamed page title,implemented,Wave 3 (Compliance & Enforcement); typecheck pass
W3-2-W3-03,library (banner copy),this library remains the published source of truth,apps/web/src/app/admin/regulations/page.tsx,442,Compliance & Enforcement,,,,,this library remains the published source of truth,,these Inspection Rules remain the published source of truth,,banner,none,Consistency follow-through after renaming the module,implemented,Wave 3 (Compliance & Enforcement); typecheck pass
W3-2-W3-04,library (empty state),the library is genuinely empty,apps/web/src/app/admin/regulations/page.tsx,450-451,Compliance & Enforcement,,,,admin.reg.r1.empty.body.writer / admin.reg.r1.empty.body,The read succeeded — the library is genuinely empty.,,The read succeeded — the list is genuinely empty.,,empty-state,none,,implemented,Wave 3 (Compliance & Enforcement); typecheck pass
W3-2-W3-05,Open dossier,Open dossier (row action to a regulation-clause detail record),apps/web/src/app/admin/regulations/page.tsx,150,Compliance & Enforcement,,,,admin.reg.r1.openDossier,Open dossier,,Open record,فتح السجل,row-action,none,"This is a regulation/clause detail record, not a Factory 360 record, so the Factory-profile mapping does not apply; used generic plain-language 'record' per task guidance. Also consumed by regulations/Controls.tsx via the shared strings object (Controls.tsx line 338), no separate edit needed there.",implemented,Wave 3 (Compliance & Enforcement); typecheck pass
W3-2-W3-06,dossier (helper text),Clause additions on this dossier are audit-tracked too (trg_audit_regulation_clauses).,apps/web/src/app/admin/regulations/page.tsx,282,Compliance & Enforcement,,,,admin.reg.r1.detail.auditNote,Clause additions on this dossier are audit-tracked too,,Clause additions on this record are audit-tracked too,تُدقَّق تغييرات صف اللائحة عبر المُشغّل العام، كما تُدقَّق إضافات البنود في هذا السجل أيضًا (trg_audit_regulation_clauses).,helper-text,none,,implemented,Wave 3 (Compliance & Enforcement); typecheck pass
W3-2-W3-07,Compliance Approval Queue,"page title ""Compliance Approval Queue""",apps/web/src/app/admin/compliance-approvals/page.tsx,48,Compliance & Enforcement,,,,,Compliance Approval Queue,,Awaiting Approval,,page-title,none,Direct glossary mapping: Approval Queue -> Awaiting Approval,implemented,Wave 3 (Compliance & Enforcement); typecheck pass
W3-2-W3-08,Approval Queue unavailable,<h4>Approval Queue unavailable</h4>,apps/web/src/app/admin/compliance-approvals/page.tsx,55,Compliance & Enforcement,,,,,Approval Queue unavailable,,Awaiting Approval unavailable,,error-state,none,,implemented,Wave 3 (Compliance & Enforcement); typecheck pass
W3-2-W3-09,Compliance Approval Queue unavailable,<h4>Compliance Approval Queue unavailable</h4>,apps/web/src/app/admin/compliance-approvals/error.tsx,4,Compliance & Enforcement,,,,,Compliance Approval Queue unavailable,,Awaiting Approval unavailable,,error-boundary,none,,implemented,Wave 3 (Compliance & Enforcement); typecheck pass
W3-2-W3-10,Loading Compliance Approval Queue,<h4>Loading Compliance Approval Queue</h4>,apps/web/src/app/admin/compliance-approvals/loading.tsx,2,Compliance & Enforcement,,,,,Loading Compliance Approval Queue,,Loading Awaiting Approval,,loading-state,none,,implemented,Wave 3 (Compliance & Enforcement); typecheck pass
W3-2-W3-11,Compliance Approval Queue,"back-link text: {fromQueue ? ""Compliance Approval Queue"" : ""Request register""}",apps/web/src/app/admin/compliance-requests/[id]/page.tsx,82,Compliance & Enforcement,,,,,Compliance Approval Queue,,Awaiting Approval,,link-text,none,,implemented,Wave 3 (Compliance & Enforcement); typecheck pass
W3-2-W3-12,Bulk violation issuance,"page title / EmptyState title ""Bulk violation issuance""",apps/web/src/app/admin/bulk-violations/page.tsx,"29,69",Compliance & Enforcement,,,,admin.bulkvio.title,Bulk violation issuance,,Issue Multiple Violations,إصدار عدة مخالفات,page-title,none,Direct glossary mapping: Bulk Violation Issuance -> Issue Multiple Violations,implemented,Wave 3 (Compliance & Enforcement); typecheck pass
W3-2-W3-13,Bulk violation issuance,Bulk violation issuance (DEC-L) is available to Operations and Compliance Admin roles only.,apps/web/src/app/admin/bulk-violations/page.tsx,31,Compliance & Enforcement,,,,admin.bulkvio.unauthorized.body,Bulk violation issuance (DEC-L) is available to Operations and Compliance Admin roles only.,إصدار المخالفات الجماعي (DEC-L) متاح لدوري العمليات ومسؤول الامتثال فقط.,Issue Multiple Violations (DEC-L) is available to Operations and Compliance Admin roles only.,إصدار عدة مخالفات (DEC-L) متاح لدوري العمليات ومسؤول الامتثال فقط.,unauthorized-body,none,,implemented,Paired inline Arabic string in same file updated alongside English
W3-2-W3-14,establishment registry,The establishment registry is unavailable in this environment.,apps/web/src/app/admin/bulk-violations/page.tsx,76,Compliance & Enforcement,,,,admin.bulkvio.factoriesError,The establishment registry is unavailable in this environment.,سجل المنشآت غير متاح في هذه البيئة.,The factory list is unavailable in this environment.,قائمة المنشآت غير متاحة في هذه البيئة.,error-banner,none,registry -> Factory list glossary mapping applied to the establishment/factory data source referenced in this admin page,implemented,Wave 3 (Compliance & Enforcement); typecheck pass
W3-2-W3-15,Enforcement Cases,n/a — term not present anywhere in assigned scope,apps/web/src/app/admin,,Compliance & Enforcement,,,,,,,n/a,,not-found,none,,"skipped-reason: term 'Enforcement Cases' does not appear anywhere in regulations/, compliance-requests/, compliance-approvals/, violations/, enforcement-recommendations/, or bulk-violations/ (grep -rniE 'enforcement case|violation case' returned zero hits). No code change needed for this Wave 3 focus item.",grep -rniE 'enforcement case|violation case' across all six assigned directories returned no matches
W3-2-W3-16,Enforcement Library,n/a — term not present anywhere in assigned scope,apps/web/src/app/admin,,Compliance & Enforcement,,,,,,,n/a,,not-found,none,,"skipped-reason: term 'Enforcement Library' does not appear anywhere in the six assigned directories (violations/, enforcement-recommendations/, bulk-violations/, regulations/, compliance-requests/, compliance-approvals/). Only 'Compliance Library' was found and was remediated (W3-01/02/03/04). The Enforcement Library screen likely lives outside this wave's directory scope (e.g. a different admin route not assigned here).",grep -rniE 'enforcement librar' across all six assigned directories returned no matches
W3-2-W3-17,SCR-ADM-*/ENG-08 chips,"context lozenge chips such as ""SCR-ADM-040 · ENG-08"", ""CMP-REQ-CCR-001..010"", ""DEC-F"", ""DEC-L"" rendered next to page titles across violations/page.tsx, violations/loading.tsx, compliance-requests/page.tsx, enforcement-recommendations/page.tsx, bulk-violations/page.tsx","apps/web/src/app/admin/violations/page.tsx, apps/web/src/app/admin/violations/loading.tsx, apps/web/src/app/admin/compliance-requests/page.tsx",,Compliance & Enforcement,,,,,,,Consider removing or relabeling these internal screen/engine-ID badges in a dedicated cross-admin pass,,deferred-jargon,none,,"skipped-reason: these ID-badge chips (SCR-*, ENG-*, DEC-*, CMP-REQ-*) are a consistent pattern spanning every admin page in the app (not unique to Wave 3's focus list), rendered as small context lozenges next to headings. Removing them here only would create visual/consistency drift with untouched admin pages outside this wave's scope. Recommend a dedicated follow-up wave/task to decide whether these badges stay for internal traceability or are removed platform-wide.","grep across assigned directories shows the pattern repeated on every page.tsx (violations, compliance-requests, compliance-approvals, enforcement-recommendations, bulk-violations)"
W3-3-W3-001,Risk Configuration,Risk Engine configuration,apps/web/src/app/admin/risk/page.tsx,40,/admin/risk,,true,,admin.risk.title,,,Risk Settings,إعدادات المخاطر,page-title,none,,implemented,Wave 3 (Risk/Workflow/GIS/Integrations Config); typecheck pass
W3-3-W3-002,Workflow Configuration,Workflow configuration,apps/web/src/app/admin/workflows/page.tsx,54,/admin/workflows,,true,,admin.wf.title,,,Workflow Settings,إعدادات سير العمل,page-title,none,,implemented,Wave 3 (Risk/Workflow/GIS/Integrations Config); typecheck pass
W3-3-W3-003,Workflow Configuration,Couldn't load workflow configuration. Nothing was changed. Try again.,apps/web/src/app/admin/workflows/page.tsx,61,/admin/workflows,,true,,admin.wf.error.title,,,Couldn't load workflow settings. Nothing was changed. Try again.,تعذّر تحميل إعدادات سير العمل. لم يتغيّر أي شيء. حاول مرة أخرى.,error-banner,none,,implemented,Wave 3 (Risk/Workflow/GIS/Integrations Config); typecheck pass
W3-3-W3-004,Workflow Configuration,No workflow configuration published,apps/web/src/app/admin/workflows/page.tsx,65,/admin/workflows,,true,,admin.wf.empty.title,,,No workflow settings published,لا توجد إعدادات سير عمل منشورة,empty-state-title,none,,implemented,Wave 3 (Risk/Workflow/GIS/Integrations Config); typecheck pass
W3-3-W3-005,GIS Configuration,GIS Studio — geofencing,apps/web/src/app/admin/gis/page.tsx,74,/admin/gis,,true,,gis.title,,,Map Settings — geofencing,إعدادات الخرائط — التسييج الجغرافي,page-title,none,geofence/geofencing kept per glossary exception for GIS admin config surface,implemented,Wave 3 (Risk/Workflow/GIS/Integrations Config); typecheck pass
W3-3-W3-006,registry,The factory registry is empty — geofences appear here once factories are synced (FND-007).,apps/web/src/app/admin/gis/page.tsx,87,/admin/gis,,true,,gis.empty.body,,,The factory list is empty — geofences appear here once factories are synced (FND-007).,قائمة المصانع فارغة — تظهر الأسيجة الجغرافية هنا بمجرد مزامنة المصانع (FND-007).,empty-state-body,none,,implemented,Wave 3 (Risk/Workflow/GIS/Integrations Config); typecheck pass
W3-3-W3-007,GIS Configuration,GIS Studio · استوديو الخرائط,apps/web/src/app/admin/gis/loading.tsx,8,/admin/gis (loading fallback),,true,,,,استوديو الخرائط,Map Settings · إعدادات الخرائط,إعدادات الخرائط,route-loading-title-bilingual,none,,implemented,Wave 3 (Risk/Workflow/GIS/Integrations Config); typecheck pass
W3-3-W3-008,GIS Configuration,Loading GIS Studio… · جارٍ تحميل استوديو الخرائط…,apps/web/src/app/admin/gis/loading.tsx,10,/admin/gis (loading fallback),,true,,,,جارٍ تحميل استوديو الخرائط…,Loading Map Settings…,جارٍ تحميل إعدادات الخرائط…,loading-state-bilingual,none,,implemented,Wave 3 (Risk/Workflow/GIS/Integrations Config); typecheck pass
W3-3-W3-009,developer-jargon,ENG-06 · SB20 · SCR-ADM-070,apps/web/src/app/admin/gis/loading.tsx,11,/admin/gis (loading fallback),,true,,,,,Preparing governed map settings and geofence data.,,loading-state-body,none,,implemented,Wave 3 (Risk/Workflow/GIS/Integrations Config); typecheck pass
W3-3-W3-010,developer-jargon,"Payload must define object, states[] and transitions[] (ENG-03 state machine shape).",apps/web/src/app/admin/workflows/actions.ts,49,/admin/workflows draft payload editor,,true,,,,,"Payload must define object, states[] and transitions[] (state machine shape).",,form-error-message,none,,implemented,Wave 3 (Risk/Workflow/GIS/Integrations Config); typecheck pass
W3-3-W3-011,developer-jargon,Weights must sum to 1.00 (got {sum}) — draft preserved (ERR pattern: exact blocker),apps/web/src/app/admin/risk/actions.ts,11,/admin/risk save form,,true,,,,,Weights must sum to 1.00 (got {sum}) — draft preserved,,form-error-message,none,,implemented,Wave 3 (Risk/Workflow/GIS/Integrations Config); typecheck pass
W3-3-W3-012,developer-jargon,(risk-owner scope required — RBAC-004).,apps/web/src/app/admin/risk/actions.ts,27,/admin/risk save form,,true,,,,,(risk-owner scope required).,,form-error-message,none,,implemented,Wave 3 (Risk/Workflow/GIS/Integrations Config); typecheck pass
W3-3-W3-013,Integration Management,Integration trust console,apps/web/src/app/admin/integrations/page.tsx,16,/admin/integrations,,true,,mvp3.integrations.title,,,System Connections,اتصالات النظام,page-title,none,,implemented,Wave 3 (Risk/Workflow/GIS/Integrations Config); typecheck pass
W3-3-W3-014,registry,Governed endpoint registry,apps/web/src/app/admin/integrations/page.tsx,22,Risk/Workflow/GIS/Integrations Config,,,,,,,Governed endpoint registry (unchanged),,section-heading,none,"Glossary registry->Factory list applies to the factory registry specifically; this heading refers to a list of integration endpoints, a distinct concept, so applying the same rename would misrepresent the content.",skipped-reason:different-domain-not-factory-registry,Wave 3 (Risk/Workflow/GIS/Integrations Config); typecheck pass
